epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,128.669,1.6989,1.2242,1.15475,0.02,0.85714,0.02871,0.01309,1.6944,3.07234,1.18351,0.000197876,0.000197876,0.000197876
39,131.899,1.88104,1.38514,1.29301,0.02,0.85714,0.02871,0.01309,1.6944,3.07234,1.18351,0.000188176,0.000188176,0.000188176
40,134.33,1.9743,1.4088,1.08079,0.02,0.85714,0.02871,0.01309,1.6944,3.07234,1.18351,0.000177684,0.000177684,0.000177684
41,138.39,1.8273,1.53862,1.14277,0.02,0.85714,0.02871,0.01309,1.6944,3.07234,1.18351,0.0001664,0.0001664,0.0001664
42,142.36,1.90397,1.47245,1.20312,0.02111,0.90476,0.03281,0.01369,1.67866,3.05205,1.17574,0.000154324,0.000154324,0.000154324
43,146.431,1.9313,1.50226,1.02393,0.02111,0.90476,0.03281,0.01369,1.67866,3.05205,1.17574,0.000141456,0.000141456,0.000141456
44,150.511,1.71811,1.39256,1.27298,0.02111,0.90476,0.03281,0.01369,1.67866,3.05205,1.17574,0.000127796,0.000127796,0.000127796
45,154.571,1.87097,1.33709,1.2846,0.02111,0.90476,0.03281,0.01369,1.67866,3.05205,1.17574,0.000113344,0.000113344,0.000113344
46,157.871,1.92464,1.513,1.37217,0.02222,0.95238,0.06446,0.02736,1.65721,3.00891,1.17589,9.81e-05,9.81e-05,9.81e-05
47,161.081,1.77446,1.38333,1.1791,0.02222,0.95238,0.06446,0.02736,1.65721,3.00891,1.17589,8.2064e-05,8.2064e-05,8.2064e-05
48,163.502,1.81116,1.27265,1.21037,0.02222,0.95238,0.06446,0.02736,1.65721,3.00891,1.17589,6.5236e-05,6.5236e-05,6.5236e-05
49,167.508,1.75581,1.39835,1.06132,0.02222,0.95238,0.06446,0.02736,1.65721,3.00891,1.17589,4.7616e-05,4.7616e-05,4.7616e-05
50,169.977,1.93362,1.65582,1.16056,0.02222,0.95238,0.12648,0.05891,1.62727,2.95182,1.16831,2.9204e-05,2.9204e-05,2.9204e-05
