epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.31016,2.98195,4.64245,1.99712,0,0,0,0,3.22009,4.34098,2.11256,0,0,0
2,7.64055,3.59316,4.31683,2.41362,0,0,0,0,3.19283,4.27418,2.0762,1.9604e-05,1.9604e-05,1.9604e-05
3,10.8541,5.26647,5.34279,3.50929,0,0,0,0,3.11082,4.22816,2.02675,3.8416e-05,3.8416e-05,3.8416e-05
4,14.0708,2.98607,4.25083,1.88071,0,0,0,0,2.95421,4.1341,1.92514,5.6436e-05,5.6436e-05,5.6436e-05
5,16.5309,4.34518,4.18199,2.46758,0,0,0,0,2.73249,4.08928,1.81506,7.3664e-05,7.3664e-05,7.3664e-05
6,19.6501,2.70361,4.10747,1.52152,0,0,0,0,2.55059,4.02214,1.70069,9.01e-05,9.01e-05,9.01e-05
7,23.0916,2.85164,3.78885,1.86747,0.00111,0.04762,0.00063,6e-05,2.43636,4.00297,1.6309,0.000105744,0.000105744,0.000105744
8,26.2317,2.31626,3.75411,1.57174,0.00333,0.14286,0.00228,0.00029,2.32157,3.94076,1.55697,0.000120596,0.000120596,0.000120596
9,29.5732,2.89991,3.69539,1.65325,0.00333,0.14286,0.00228,0.00029,2.32157,3.94076,1.55697,0.000134656,0.000134656,0.000134656
10,32.0623,2.28116,3.51755,1.53146,0.00778,0.33333,0.00752,0.00193,2.24386,3.8441,1.45009,0.000147924,0.000147924,0.000147924
11,35.2223,2.25562,3.38377,1.3638,0.00778,0.33333,0.00752,0.00193,2.24386,3.8441,1.45009,0.0001604,0.0001604,0.0001604
12,38.5243,2.44425,3.42224,1.56462,0.00889,0.38095,0.00807,0.00341,2.15994,3.76754,1.3852,0.000172084,0.000172084,0.000172084
13,41.7828,2.2358,2.97603,1.326,0.00889,0.38095,0.00807,0.00341,2.15994,3.76754,1.3852,0.000182976,0.000182976,0.000182976
14,45.9788,2.41905,3.02201,1.46037,0.01111,0.47619,0.01044,0.00479,2.06933,3.6964,1.33703,0.000193076,0.000193076,0.000193076
15,49.2182,2.1241,2.67082,1.50804,0.01111,0.47619,0.01044,0.00479,2.06933,3.6964,1.33703,0.000202384,0.000202384,0.000202384
16,52.5058,2.14756,2.66436,1.60414,0.01333,0.57143,0.01549,0.00637,1.95811,3.62738,1.28787,0.0002109,0.0002109,0.0002109
17,55.795,2.69957,2.12397,1.50282,0.01333,0.57143,0.01549,0.00637,1.95811,3.62738,1.28787,0.000218624,0.000218624,0.000218624
18,58.2437,2.31305,2.18252,1.46499,0.01444,0.61905,0.01883,0.00733,1.88999,3.54605,1.23832,0.000225556,0.000225556,0.000225556
19,61.374,2.13218,2.49587,1.32193,0.01444,0.61905,0.01883,0.00733,1.88999,3.54605,1.23832,0.000231696,0.000231696,0.000231696
20,65.4897,2.00697,1.86689,1.35979,0.01444,0.61905,0.01846,0.00828,1.81591,3.46685,1.2188,0.000237044,0.000237044,0.000237044
21,68.7821,2.27676,1.44003,1.38212,0.01444,0.61905,0.01846,0.00828,1.81591,3.46685,1.2188,0.0002416,0.0002416,0.0002416
22,72.775,2.01196,1.51527,1.1995,0.01556,0.66667,0.02146,0.01042,1.77659,3.37632,1.19379,0.000245364,0.000245364,0.000245364
23,75.9651,1.99763,1.42331,1.20786,0.01556,0.66667,0.02146,0.01042,1.77659,3.37632,1.19379,0.000248336,0.000248336,0.000248336
24,79.1707,2.55105,2.51177,1.55632,0.01556,0.66667,0.02146,0.01042,1.77659,3.37632,1.19379,0.000250516,0.000250516,0.000250516
25,83.2858,1.91429,1.89386,1.28807,0.01556,0.66667,0.02158,0.00989,1.76083,3.2901,1.18529,0.000251904,0.000251904,0.000251904
26,85.7957,2.09619,1.62394,1.41965,0.01556,0.66667,0.02158,0.00989,1.76083,3.2901,1.18529,0.0002525,0.0002525,0.0002525
27,89.9761,1.95293,1.69802,1.22233,0.01556,0.66667,0.02158,0.00989,1.76083,3.2901,1.18529,0.000252304,0.000252304,0.000252304
28,93.9769,2.06589,1.42185,1.14578,0.01556,0.66667,0.02185,0.01012,1.75581,3.21882,1.18446,0.000251316,0.000251316,0.000251316
29,96.4166,1.89412,1.69579,1.31882,0.01556,0.66667,0.02185,0.01012,1.75581,3.21882,1.18446,0.000249536,0.000249536,0.000249536
30,100.378,2.06052,1.79125,1.44381,0.01556,0.66667,0.02185,0.01012,1.75581,3.21882,1.18446,0.000246964,0.000246964,0.000246964
31,104.437,1.94856,1.30703,1.10823,0.01667,0.71429,0.02327,0.01117,1.72826,3.15594,1.17978,0.0002436,0.0002436,0.0002436
32,108.51,2.1237,1.43238,1.35319,0.01667,0.71429,0.02327,0.01117,1.72826,3.15594,1.17978,0.000239444,0.000239444,0.000239444
33,111.688,1.75083,1.36304,1.19646,0.01667,0.71429,0.02327,0.01117,1.72826,3.15594,1.17978,0.000234496,0.000234496,0.000234496
34,114.928,1.78353,1.26735,1.13917,0.01778,0.7619,0.02442,0.01197,1.72748,3.11723,1.19359,0.000228756,0.000228756,0.000228756
35,117.368,1.85466,1.39574,1.20492,0.01778,0.7619,0.02442,0.01197,1.72748,3.11723,1.19359,0.000222224,0.000222224,0.000222224
36,121.357,2.00644,1.65964,1.14793,0.01778,0.7619,0.02442,0.01197,1.72748,3.11723,1.19359,0.0002149,0.0002149,0.0002149
37,124.574,1.83424,1.33633,1.09582,0.01778,0.7619,0.02442,0.01197,1.72748,3.11723,1.19359,0.000206784,0.000206784,0.000206784
