epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,369.365,2.22398,2.86804,1.00127,0.00783,0.29348,0.06167,0.04571,2.4859,3.79581,1.01735,0.00123272,0.00123272,0.00123272
15,382.586,2.21509,2.95962,1.02212,0.00783,0.29348,0.06167,0.04571,2.4859,3.79581,1.01735,0.00128658,0.00128658,0.00128658
16,395.201,2.22299,2.68256,1.00988,0.01,0.375,0.03973,0.02792,1.93222,3.52564,0.95242,0.0013357,0.0013357,0.0013357
17,407.548,2.1945,2.65782,0.97317,0.00971,0.36413,0.05808,0.04257,1.83273,3.44942,0.94369,0.0013664,0.0013664,0.0013664
18,420.844,2.39508,2.75992,0.98452,0.22741,0.19565,0.0765,0.05891,1.88065,3.21116,0.95064,0.0013268,0.0013268,0.0013268
19,434.151,2.19723,2.68041,0.99309,0.22741,0.19565,0.0765,0.05891,1.88065,3.21116,0.95064,0.0012872,0.0012872,0.0012872
20,446.619,2.06361,2.45189,0.98249,0.22665,0.16848,0.11367,0.06546,1.95747,3.06931,0.9681,0.0012476,0.0012476,0.0012476
21,458.978,2.17158,2.73794,1.03023,0.22667,0.19565,0.10014,0.06004,1.9741,3.08838,0.99629,0.001208,0.001208,0.001208
22,471.354,2.22453,2.91575,1.00296,0.22507,0.19293,0.08478,0.05784,2.0759,3.13243,1.01274,0.0011684,0.0011684,0.0011684
23,483.954,2.38169,2.61172,1.00972,0.22507,0.19293,0.08478,0.05784,2.0759,3.13243,1.01274,0.0011288,0.0011288,0.0011288
24,496.329,2.13815,2.7241,0.96704,0.23189,0.1875,0.09345,0.05842,1.95857,3.00147,0.98742,0.0010892,0.0010892,0.0010892
25,508.766,1.79372,2.31208,0.9585,0.22734,0.1875,0.09556,0.05648,1.92677,3.03125,0.98674,0.0010496,0.0010496,0.0010496
26,521.133,2.00386,2.53801,1.03212,0.23136,0.19565,0.08946,0.05546,2.01863,3.05966,0.99003,0.00101,0.00101,0.00101
27,533.39,1.83783,2.62371,0.96114,0.23136,0.19565,0.08946,0.05546,2.01863,3.05966,0.99003,0.0009704,0.0009704,0.0009704
28,545.597,2.34197,2.64126,1.023,0.22588,0.19188,0.07674,0.05351,2.294,3.21944,1.02959,0.0009308,0.0009308,0.0009308
29,557.867,2.15579,2.73332,1.02557,0.22202,0.19293,0.08817,0.05845,2.13377,3.12929,0.9975,0.0008912,0.0008912,0.0008912
30,570.159,2.0178,2.35064,0.97849,0.25355,0.22891,0.13552,0.08565,1.90724,2.86234,0.95468,0.0008516,0.0008516,0.0008516
31,582.65,1.80973,2.18731,0.94075,0.25355,0.22891,0.13552,0.08565,1.90724,2.86234,0.95468,0.000812,0.000812,0.000812
32,595.399,2.32649,2.57804,1.02304,0.24109,0.24185,0.15648,0.09126,2.04283,2.69005,0.95332,0.0007724,0.0007724,0.0007724
33,608.631,2.06026,2.43211,0.94823,0.26018,0.3125,0.18064,0.09856,1.9488,2.58014,0.94198,0.0007328,0.0007328,0.0007328
34,621.87,2.25908,2.51099,1.00481,0.2455,0.30707,0.19258,0.11741,1.84343,2.48962,0.93095,0.0006932,0.0006932,0.0006932
35,634.366,1.9881,2.37546,0.95825,0.2455,0.30707,0.19258,0.11741,1.84343,2.48962,0.93095,0.0006536,0.0006536,0.0006536
36,646.9,1.82313,2.3234,0.93197,0.26694,0.31793,0.18705,0.12329,1.83883,2.43473,0.93552,0.000614,0.000614,0.000614
37,659.468,2.01917,2.73777,0.95356,0.25323,0.24787,0.18412,0.12167,1.81418,2.47796,0.93904,0.0005744,0.0005744,0.0005744
38,672.343,1.65144,2.15802,0.92213,0.24676,0.22554,0.18137,0.1203,1.60849,2.48625,0.90928,0.0005348,0.0005348,0.0005348
39,685.314,1.68513,2.25626,0.92516,0.24676,0.22554,0.18137,0.1203,1.60849,2.48625,0.90928,0.0004952,0.0004952,0.0004952
40,699.547,1.76962,2.35005,0.90706,0.25976,0.23641,0.18409,0.11965,1.5529,2.46723,0.89855,0.0004556,0.0004556,0.0004556
41,712.879,1.76052,2.43931,0.99092,0.29134,0.30435,0.2005,0.12515,1.53795,2.4014,0.89642,0.000416,0.000416,0.000416
42,725.148,1.65219,2.33628,0.94393,0.30473,0.36957,0.21741,0.1307,1.61646,2.28285,0.90511,0.0003764,0.0003764,0.0003764
43,737.521,1.67162,2.35934,0.95795,0.30473,0.36957,0.21741,0.1307,1.61646,2.28285,0.90511,0.0003368,0.0003368,0.0003368
44,749.756,1.64009,2.20363,0.97194,0.33981,0.47011,0.28299,0.13836,1.75209,2.2316,0.9228,0.0002972,0.0002972,0.0002972
45,761.919,1.52532,2.05652,0.88874,0.34994,0.44565,0.30544,0.14721,1.74115,2.20298,0.91998,0.0002576,0.0002576,0.0002576
46,774.06,1.63195,2.28728,0.93642,0.35912,0.44022,0.31354,0.16216,1.62764,2.16476,0.90136,0.000218,0.000218,0.000218
47,786.32,1.85428,2.25299,0.9794,0.35912,0.44022,0.31354,0.16216,1.62764,2.16476,0.90136,0.0001784,0.0001784,0.0001784
48,798.696,1.31313,2.05697,0.89522,0.34576,0.4375,0.31811,0.18041,1.49463,2.12257,0.88009,0.0001388,0.0001388,0.0001388
49,812.805,1.60587,2.32192,0.96508,0.33701,0.44837,0.31212,0.1885,1.42868,2.09054,0.87043,9.92e-05,9.92e-05,9.92e-05
50,825.877,1.54148,2.19382,0.94176,0.34752,0.44837,0.31293,0.19167,1.40841,2.07374,0.86781,5.96e-05,5.96e-05,5.96e-05
