epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3433,2.99602,5.92859,1.47856,0.00014,0.00543,0.0001,3e-05,4.54176,8.88273,2.17513,0.0001,0.0001,0.0001
2,85.1524,2.56563,4.6218,1.23527,0.00029,0.01087,0.00181,0.00038,4.2253,10.9722,2.15749,0.000215644,0.000215644,0.000215644
3,128.875,2.75725,3.99741,1.21808,0.00522,0.19565,0.00914,0.00527,3.00938,5.11071,1.27799,0.000326536,0.000326536,0.000326536
4,172.543,2.92745,4.3546,1.23066,0.00572,0.21467,0.00959,0.00525,2.51997,4.57939,1.08069,0.000432676,0.000432676,0.000432676
5,219.411,2.6987,4.07482,1.15834,0.00551,0.20652,0.00408,0.00199,2.49345,4.66447,1.06051,0.000534064,0.000534064,0.000534064
6,258.634,2.42976,3.28665,1.05883,0.00203,0.07609,0.0011,0.00048,2.24671,4.58011,1.02097,0.0006307,0.0006307,0.0006307
7,280.56,2.5258,3.48011,1.1206,0.00732,0.27446,0.00471,0.00329,2.07716,4.25603,0.98974,0.000722584,0.000722584,0.000722584
8,293.936,2.49769,3.31106,1.08118,0.00514,0.19293,0.00364,0.00285,2.51647,4.22567,1.10178,0.000809716,0.000809716,0.000809716
9,306.465,2.66088,3.43311,1.09256,0.00522,0.19565,0.00379,0.00284,2.74738,4.1444,1.18531,0.000892096,0.000892096,0.000892096
10,318.771,2.50212,3.0229,1.04435,0.00638,0.23913,0.00476,0.00273,2.22425,4.63958,1.00395,0.000969724,0.000969724,0.000969724
11,331.121,2.43597,3.01802,0.99663,0.00609,0.22826,0.00491,0.00281,2.42889,4.22254,1.02368,0.0010426,0.0010426,0.0010426
12,343.279,2.28762,2.78489,0.979,0.00609,0.22826,0.00726,0.00454,2.28503,4.16582,1.03695,0.00111072,0.00111072,0.00111072
13,356.34,2.32823,3.24524,1.01026,0.0058,0.21739,0.02479,0.01487,2.70864,4.22408,1.09538,0.0011741,0.0011741,0.0011741
