epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6299,2.31619,3.87456,1.06882,0.02036,0.53576,0.02724,0.01421,4.01114,9.22924,2.21247,0.00016,0.00016,0.00016
2,37.2424,1.89468,2.20803,0.97968,0.02256,0.59379,0.07566,0.04565,3.49314,4.83701,1.424,0.000333268,0.000333268,0.000333268
3,52.9211,1.86041,1.94012,0.96828,0.02256,0.59379,0.03422,0.01971,2.70603,4.02987,1.09492,0.000499408,0.000499408,0.000499408
4,68.2034,2.27043,2.00706,0.99525,0.01533,0.40351,0.01482,0.00857,2.59546,3.85428,1.13694,0.00065842,0.00065842,0.00065842
5,83.184,1.69566,1.42032,0.91732,0.02328,0.61269,0.03536,0.02118,2.63539,3.76946,1.10703,0.000810304,0.000810304,0.000810304
6,98.3003,1.66669,1.29496,0.90909,0.02256,0.59379,0.1799,0.12116,1.91361,4.52361,1.00702,0.00095506,0.00095506,0.00095506
7,113.538,1.86873,1.72866,0.93363,0.02256,0.59379,0.14998,0.05775,2.3466,3.95644,1.05302,0.00109269,0.00109269,0.00109269
8,128.621,1.52865,1.30347,0.8884,0.45779,0.5749,0.28717,0.17605,2.87854,5.11818,1.34663,0.00122319,0.00122319,0.00122319
9,143.621,1.50844,1.23554,0.89545,0.41781,0.59379,0.27087,0.1925,3.50171,11.3578,1.55305,0.00134656,0.00134656,0.00134656
10,158.818,1.96996,1.77417,0.9598,0.99889,0.59379,0.59955,0.3881,3.61436,4.28523,1.57001,0.0014628,0.0014628,0.0014628
11,173.992,1.96765,1.69692,0.95576,0.99916,0.59379,0.59988,0.46289,2.02965,3.15423,1.02133,0.00157192,0.00157192,0.00157192
12,189.235,1.56509,1.17028,0.89243,0.99918,0.59379,0.61003,0.39759,2.10474,2.94996,0.98193,0.0015644,0.0015644,0.0015644
13,204.441,1.92709,1.4569,0.91764,0.99955,0.59379,0.63902,0.40746,1.973,2.61252,0.97395,0.0015248,0.0015248,0.0015248
14,219.813,1.86173,1.36369,0.93652,0.99967,0.59379,0.6404,0.47245,2.37432,2.3967,1.06766,0.0014852,0.0014852,0.0014852
15,235.086,1.69674,1.24197,0.91205,0.93447,0.59379,0.61722,0.46129,2.30781,2.36048,1.04158,0.0014456,0.0014456,0.0014456
16,250.315,1.58291,1.24315,0.88597,1,0.59334,0.65937,0.48694,1.86105,2.22154,0.94986,0.001406,0.001406,0.001406
17,266.222,1.51979,1.13362,0.87021,0.99977,0.59379,0.67869,0.47521,1.84743,2.1229,0.93839,0.0013664,0.0013664,0.0013664
18,281.71,1.51963,1.12126,0.86612,0.99975,0.59379,0.68008,0.50947,1.79285,2.17142,0.93522,0.0013268,0.0013268,0.0013268
19,296.994,1.8702,1.47391,0.96729,0.9996,0.59379,0.69977,0.49579,1.86589,2.15859,0.95388,0.0012872,0.0012872,0.0012872
20,312.324,1.44911,1.02738,0.88279,0.99948,0.59379,0.73034,0.54239,1.83801,2.0756,0.95131,0.0012476,0.0012476,0.0012476
21,327.531,1.58844,1.15665,0.89486,0.99927,0.59379,0.75739,0.50362,1.84018,1.97255,0.9396,0.001208,0.001208,0.001208
22,342.872,1.37992,1.00515,0.87168,0.99976,0.59379,0.76935,0.49505,1.80781,1.93641,0.92863,0.0011684,0.0011684,0.0011684
23,358.322,1.27066,0.90359,0.84342,0.99972,0.59379,0.77434,0.55153,1.71756,1.89245,0.91795,0.0011288,0.0011288,0.0011288
24,373.581,1.53761,1.22881,0.92749,0.99976,0.59379,0.76636,0.53291,1.7621,1.90566,0.91104,0.0010892,0.0010892,0.0010892
25,388.958,1.62536,1.20897,0.88906,0.99982,0.59379,0.79842,0.53005,1.7372,1.81189,0.90052,0.0010496,0.0010496,0.0010496
26,404.305,1.28045,0.9232,0.85827,0.99979,0.59379,0.82901,0.59716,1.60772,1.69188,0.89272,0.00101,0.00101,0.00101
27,419.763,1.48938,1.26198,0.88973,0.96605,0.61441,0.82753,0.58807,1.89174,1.60052,0.93636,0.0009704,0.0009704,0.0009704
28,435.03,1.47267,1.16053,0.87968,0.94912,0.65459,0.86591,0.58627,1.64087,1.5041,0.8904,0.0009308,0.0009308,0.0009308
29,450.241,1.44055,1.2206,0.89597,0.96776,0.7292,0.88211,0.55809,1.64514,1.45759,0.87604,0.0008912,0.0008912,0.0008912
30,465.416,1.20849,0.88825,0.847,0.90649,0.75439,0.87328,0.59152,1.6792,1.40824,0.87458,0.0008516,0.0008516,0.0008516
31,480.812,1.40452,1.06973,0.86243,0.84839,0.77733,0.87961,0.61166,1.63917,1.37046,0.87062,0.000812,0.000812,0.000812
32,496.39,1.47752,1.1587,0.87769,0.82495,0.78864,0.88025,0.59232,1.75088,1.4151,0.88319,0.0007724,0.0007724,0.0007724
33,511.707,1.31469,0.99823,0.85118,0.82876,0.78812,0.89046,0.63088,1.63609,1.33647,0.87881,0.0007328,0.0007328,0.0007328
34,526.965,1.29436,1.01966,0.87686,0.93249,0.7829,0.91281,0.65947,1.50457,1.20901,0.8645,0.0006932,0.0006932,0.0006932
35,542.598,1.20128,0.8595,0.85371,0.95517,0.76113,0.90437,0.62513,1.56601,1.15948,0.88026,0.0006536,0.0006536,0.0006536
36,557.802,1.29293,0.95222,0.84699,0.94045,0.83122,0.91395,0.64786,1.47737,1.10712,0.86819,0.000614,0.000614,0.000614
37,573.331,1.11494,0.8222,0.83601,0.95148,0.82048,0.91331,0.65682,1.43822,1.1068,0.86365,0.0005744,0.0005744,0.0005744
38,588.492,1.16708,0.8544,0.84551,0.94552,0.81976,0.91823,0.66562,1.40985,1.11106,0.85796,0.0005348,0.0005348,0.0005348
39,603.966,1.36274,1.41312,0.88055,0.92401,0.80972,0.91105,0.6468,1.45694,1.12557,0.85846,0.0004952,0.0004952,0.0004952
40,619.212,1.24635,0.89174,0.85399,0.96578,0.79986,0.91473,0.68806,1.4047,1.0703,0.85336,0.0004556,0.0004556,0.0004556
41,634.113,1.23908,0.9005,0.85964,0.94116,0.84187,0.92701,0.71522,1.3544,1.02366,0.84438,0.000416,0.000416,0.000416
42,649.085,1.24498,0.97182,0.86245,0.9461,0.8291,0.93055,0.67801,1.45803,1.01371,0.85145,0.0003764,0.0003764,0.0003764
43,664.387,1.1219,0.8671,0.86954,0.92548,0.83794,0.92247,0.58607,1.68712,1.06698,0.87322,0.0003368,0.0003368,0.0003368
44,679.679,1.24644,0.89236,0.87095,0.91615,0.84615,0.92289,0.61933,1.67287,1.06701,0.87827,0.0002972,0.0002972,0.0002972
45,695.993,1.43731,1.20309,0.93643,0.92024,0.86235,0.92794,0.64919,1.63599,1.05445,0.8783,0.0002576,0.0002576,0.0002576
46,712.888,1.06505,0.81746,0.84394,0.93964,0.84615,0.93172,0.6702,1.55517,1.04416,0.86985,0.000218,0.000218,0.000218
47,728.979,1.33042,0.97122,0.8833,0.91427,0.86353,0.93359,0.6764,1.48796,1.03851,0.8615,0.0001784,0.0001784,0.0001784
48,745.29,1.06693,0.80267,0.83132,0.93507,0.85695,0.93817,0.68164,1.42229,1.03387,0.84843,0.0001388,0.0001388,0.0001388
